Gender	PrimaryInterest	Hobby	IncomeLevel	NearSchool	WorkingStudent	InternetAccess	MotherEducation	FatherEducation	TrackStrand	GwaRange	StudyHours	SchoolType	Extracurricular	FavoriteSubject	AcademicAwards	Openness1	Openness2	Conscientiousness1	Conscientiousness2	SelfEfficacy1	SelfEfficacy2	ChosenMajor
Male	Engineering	Gaming	Upper income (₱131,484 - ₱219,140 per month)	Yes	Yes	Limited access	Post-Graduate	Elementary	STEM	85 - 89	None	Science High School	Volunteer Work	Science	Yes	5	3	3	5	5	5	Bachelor of Science in Mechanical Engineering
Female	Technology / Computing	Gaming	Upper income (₱131,484 - ₱219,140 per month)	No	No	Average/intermittent access	College Graduate	Elementary	TVL - ICT	Below 75	Less than 3 hours	Public	Competitions	ICT / Computer Studies	No	3	3	1	4	1	3	Bachelor of Science in Information Technology
Male	Engineering	Gaming	Low income (₱10,957 - ₱21,914 per month)	No	No	Strong and consistent access	Post-Graduate	Not sure	STEM	90 - 94	None	Private	Leadership / Student Government	Mathematics	No	2	2	4	3	3	4	Bachelor of Science in Civil Engineering
Female	Business / Finance	Entrepreneurship	Rich (Above ₱219,140 per month)	No	No	Strong and consistent access	Post-Graduate	Post-Graduate	ABM	95 - 100	Less than 3 hours	Private	Leadership / Student Government	Business / Accounting	Yes	2	1	1	3	5	2	Bachelor of Science in Real Estate Management
Female	Business / Finance	Entrepreneurship	Upper income (₱131,484 - ₱219,140 per month)	No	No	No access	Elementary	College Graduate	ABM	95 - 100	3-5 hours	Public	None	Business / Accounting	No	4	2	3	1	1	4	Bachelor of Science in Business Administration major in Operations Management
Female	Business / Finance	Social activities / Volunteering	Low income (₱10,957 - ₱21,914 per month)	No	No	Limited access	Post-Graduate	Not sure	TVL - Cookery	80 - 84	11-15 hours	Public	Sports	English / Communication	Yes	1	4	4	5	1	3	Bachelor of Science in Hospitality Management
Male	Education / Teaching	Writing / Reading	Rich (Above ₱219,140 per month)	No	No	Limited access	High School	Post-Graduate	GAS	95 - 100	3-5 hours	Technical / Vocational High School	Sports	Science	No	3	4	1	3	1	1	Bachelor of Elementary Education
Female	Education / Teaching	Writing / Reading	Lower-middle income (₱21,914 - ₱43,828 per month)	No	Yes	No access	High School	Post-Graduate	GAS	90 - 94	None	Technical / Vocational High School	Arts / Music	Science	Yes	4	2	5	4	1	3	Bachelor of Elementary Education
Male	Social Sciences / Psychology	Coding / Programming	Low income (₱10,957 - ₱21,914 per month)	No	Yes	No access	College Graduate	College Graduate	HUMSS	80 - 84	11-15 hours	Science High School	Arts / Music	Social Science	No	4	4	3	1	4	5	Bachelor of Arts in Political Science
Female	Engineering	Sports	Rich (Above ₱219,140 per month)	No	Yes	No access	College Undergraduate	Elementary	STEM	95 - 100	3-5 hours	Science High School	Volunteer Work	Mathematics	Yes	4	5	2	5	2	3	Bachelor of Science in Electrical Engineering
