Gender	PrimaryInterest	Hobby	IncomeLevel	NearSchool	WorkingStudent	InternetAccess	MotherEducation	FatherEducation	TrackStrand	GwaRange	StudyHours	SchoolType	Extracurricular	FavoriteSubject	AcademicAwards	Openness1	Openness2	Conscientiousness1	Conscientiousness2	SelfEfficacy1	SelfEfficacy2	ChosenMajor
Male	Business / Finance	Entrepreneurship	Upper income (₱131,484 - ₱219,140 per month)	Yes	No	Average/intermittent access	College Graduate	College Graduate	ABM	90 - 94	3-5 hours	Public	Leadership / Student Government	Business / Accounting	Yes	5	5	4	5	4	4	Bachelor of Science in Business Administration major in Marketing Management
Female	Arts / Design / Creative Media	Drawing / Design	Lower-middle income (₱21,914 - ₱43,828 per month)	No	No	Limited access	High School	College Undergraduate	Arts & Design	Below 75	Less than 3 hours	Private	Competitions	Arts	No	3	4	3	4	2	2	Bachelor of Arts in Political Science
Female	Business / Finance	Entrepreneurship	Middle income (₱43,828 -  ₱76,667 per month)	No	No	Limited access	College Graduate	College Undergraduate	ABM	85 - 89	6-10 hours	Private	Leadership / Student Government	Business / Accounting	No	3	3	2	3	2	4	Bachelor of Science in Accountancy
Male	Education / Teaching	Social activities / Volunteering	Upper income (₱131,484 - ₱219,140 per month)	Yes	No	Strong and consistent access	High School	Elementary	HUMSS	90 - 94	More than 15 hours	Public	Volunteer Work	English / Communication	Yes	4	4	4	4	5	4	Bachelor of Secondary Education major in Mathematics
Female	Arts / Design / Creative Media	Drawing / Design	Upper income (₱131,484 - ₱219,140 per month)	No	No	Limited access	College Undergraduate	High School	Arts & Design	80 - 84	3-5 hours	Public	Arts / Music	Arts	No	2	3	4	3	2	2	Bachelor of Arts in Political Science
Female	Education / Teaching	Writing / Reading	Poor (Below ₱10,957 per month)	No	No	Limited access	Elementary	College Graduate	HUMSS	90 - 94	3-5 hours	Public	Academic Clubs	Social Science	Yes	5	5	4	4	5	5	Bachelor of Secondary Education major in Social Studies
Male	Technology / Computing	Coding / Programming	Middle income (₱43,828 -  ₱76,667 per month)	Yes	No	Strong and consistent access	High School	Elementary	STEM	95 - 100	11-15 hours	Technical / Vocational High School	Volunteer Work	Science	Yes	5	5	4	4	4	5	Bachelor of Science in Information Technology
Male	Technology / Computing	Gaming	Upper income (₱131,484 - ₱219,140 per month)	No	No	Strong and consistent access	High School	College Undergraduate	STEM	95 - 100	11-15 hours	Science High School	Academic Clubs	Mathematics	Yes	4	5	4	4	4	4	Bachelor of Science in Civil Engineering
Female	Technology / Computing	Coding / Programming	Middle income (₱43,828 -  ₱76,667 per month)	Yes	No	Limited access	College Graduate	Elementary	STEM	95 - 100	11-15 hours	Science High School	Competitions	Mathematics	Yes	5	4	4	5	4	5	Bachelor of Science in Civil Engineering
Male	Business / Finance	Entrepreneurship	Rich (Above ₱219,140 per month)	Yes	No	Strong and consistent access	College Graduate	College Graduate	ABM	90 - 94	11-15 hours	Private	Competitions	Business / Accounting	Yes	4	5	4	5	5	5	Bachelor of Science in Business Administration major in Human Resource Management
Male	Technology / Computing	Coding / Programming	Middle income (₱43,828 -  ₱76,667 per month)	No	No	No access	College Graduate	College Undergraduate	STEM	85 - 89	11-15 hours	Technical / Vocational High School	Arts / Music	Mathematics	No	3	2	2	3	3	4	Bachelor of Science in Electrical Engineering
Female	Social Sciences / Psychology	Writing / Reading	Lower-middle income (₱21,914 - ₱43,828 per month)	Yes	No	Strong and consistent access	High School	College Graduate	HUMSS	80 - 84	3-5 hours	Private	Academic Clubs	English / Communication	No	4	3	2	2	2	3	Bachelor of Science in Social Work
Female	Arts / Design / Creative Media	Drawing / Design	Lower-middle income (₱21,914 - ₱43,828 per month)	No	No	Strong and consistent access	Elementary	High School	Arts & Design	95 - 100	11-15 hours	Technical / Vocational High School	Arts / Music	Arts	Yes	4	5	4	4	5	5	Bachelor of Arts in English Language
Male	Technology / Computing	Coding / Programming	Upper-middle income (₱76,667 - ₱131,484 per month)	No	Yes	Strong and consistent access	College Graduate	College Graduate	STEM	90 - 94	3-5 hours	Science High School	Arts / Music	ICT / Computer Studies	Yes	5	4	5	5	5	5	Bachelor of Science in Civil Engineering
Male	Arts / Design / Creative Media	Drawing / Design	Low income (₱10,957 - ₱21,914 per month)	Yes	Yes	Average/intermittent access	High School	High School	Arts & Design	80 - 84	3-5 hours	Private	Competitions	Arts	No	3	4	3	3	4	2	Bachelor of Performing Arts
